Scheme_Code,AMC,Scheme_Name,Scheme_Type,Scheme_Category,Scheme_NAV_Name,Scheme_Min_Amt,Launch_Date,Closure_Date,ISIN_Div_Payout/Growth,ISIN_Div_Reinvestment,NAV,Latest_NAV_Date
100033,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Equity Advantage Fund,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Equity Advantage Fund - Regular Growth,5000,1995-02-24,1995-02-24,INF209K01165,-,851.15,2025-05-05
100034,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Equity Advantage Fund,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Equity Advantage Fund -Regular - IDCW,5000,1995-02-24,1995-02-24,INF209K01157,INF209K01CE5,132.01,2025-05-05
100037,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Income Fund,Open Ended,Debt Scheme - Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,5000,1994-01-01,1994-01-01,INF209K01587,INF209K01CY3,13.6074,2025-05-05
100038,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Income Fund,Open Ended,Debt Scheme - Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,5000,1994-01-01,1994-01-01,INF209K01579,-,125.9789,2025-05-05
100041,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,5000,1997-06-04,1997-06-07,-,INF209K01KN9,108.023,2025-05-05
100042,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund-Retail (Growth),5000,1997-06-04,1997-06-07,INF209K01ME4,-,676.2424,2025-05-05
100043,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),5000,1997-06-04,1997-06-07,INF209K01RT1,-,693.9646,2025-05-05
100044,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,5000,1997-06-04,1997-06-07,-,INF209K01KP4,163.694,2025-05-05
100046,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Daily IDCW,5000,1997-06-04,1997-06-07,INF209K01KQ2,INF209K01SQ5,100.195,2025-05-05
100047,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund - Growth,5000,1997-06-04,1997-06-07,INF209K01RU9,-,416.7152,2025-05-05
100048,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,5000,1997-06-04,1997-06-07,INF209KA1LK7,INF209K01KY6,108.2483,2025-05-05
100051,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Liquid Fund,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -weekly IDCW,5000,1997-06-04,1997-06-07,INF209K01KU4,INF209KA1LJ9,100.2776,2025-05-05
100057,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Government Securities Fund,Open Ended,Debt Scheme - Gilt Fund,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,5000,1999-10-12,1999-10-12,INF209K01AF6,INF209K01DP9,11.6852,2025-05-05
100058,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life Government Securities Fund,Open Ended,Debt Scheme - Gilt Fund,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,5000,1999-10-12,1999-10-12,INF209K01AC3,INF209K01AD1,82.5049,2025-05-05
100063,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life MNC Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Aditya Birla Sun Life MNC Fund - Regular - IDCW,5000,1998-11-16,1998-11-16,INF209K01314,INF209K01CL0,212.75,2025-05-02
100064,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life MNC Fund,Open Ended,Equity Scheme - Sectoral/ Thematic,Aditya Birla Sun Life MNC Fund - Growth - Regular Plan,5000,1998-11-16,1998-11-16,INF209K01322,-,1231.8,2025-05-02
100077,DSP Asset Managers Private Limited,DSP Bond Fund,Open Ended,Debt Scheme - Medium Duration Fund,DSP Bond Fund - IDCW,Rs. 1000/  and any amount thereafter,1997-04-07,1997-04-15,INF740K01565,INF740K01995,11.5181,2025-05-05
100078,DSP Asset Managers Private Limited,DSP Bond Fund,Open Ended,Debt Scheme - Medium Duration Fund,DSP Bond Fund - Growth,Rs. 1000/  and any amount thereafter,1997-04-07,1997-04-15,INF740K01557,-,81.3315,2025-05-05
100079,DSP Asset Managers Private Limited,DSP Bond Fund,Open Ended,Debt Scheme - Medium Duration Fund,DSP Bond Fund - IDCW - Monthly,Rs. 1000/  and any amount thereafter,1997-04-07,1997-04-15,INF740K01573,INF740K01AA1,11.1801,2025-05-05
100080,DSP Asset Managers Private Limited,DSP Flexi Cap Fund,Open Ended,Equity Scheme - Flexi Cap Fund,DSP Flexi Cap Fund - Regular Plan - IDCW,Rs. 1000/  and any amount thereafter,1997-04-04,1997-04-15,INF740K01011,INF740K01029,60.875,2025-05-05
100081,DSP Asset Managers Private Limited,DSP Aggressive Hybrid Fund,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,DSP Aggressive Hybrid Fund- Regular Plan - Growth,Rs. 1000/  and any amount thereafter,1999-05-03,1999-05-14,INF740K01318,-,352.433,2025-05-05
100082,DSP Asset Managers Private Limited,DSP Aggressive Hybrid Fund,Open Ended,Hybrid Scheme - Aggressive Hybrid Fund,DSP Aggressive Hybrid Fund- Regular Plan - IDCW,Rs. 1000/  and any amount thereafter,1999-05-03,1999-05-14,INF740K01326,INF740K01334,29.967,2025-05-05
100084,DSP Asset Managers Private Limited,DSP Gilt Fund,Open Ended,Debt Scheme - Gilt Fund,DSP Gilt Fund - Regular Plan - Growth,Rs. 100/  and any amount thereafter,1999-09-20,1999-09-23,INF740K01615,-,97.3643,2025-05-05
100085,DSP Asset Managers Private Limited,DSP Gilt Fund,Open Ended,Debt Scheme - Gilt Fund,DSP Gilt Fund - Regular Plan - IDCW,Rs. 100/  and any amount thereafter,1999-09-20,1999-09-23,INF740K01607,INF740K01AD5,12.6326,2025-05-05
100086,DSP Asset Managers Private Limited,DSP Gilt Fund,Open Ended,Debt Scheme - Gilt Fund,DSP Gilt Fund - Regular Plan - IDCW - Monthly,Rs. 100/  and any amount thereafter,1999-09-20,1999-09-23,INF740K01623,INF740K01AE3,10.8372,2025-05-05
100087,DSP Asset Managers Private Limited,DSP Savings Fund,Open Ended,Debt Scheme - Money Market Fund,DSP Savings Fund - Regular Plan - Growth,Rs. 1000/- & any amount thereafter,1999-09-20,1999-09-23,INF740K01714,-,52.132,2025-05-05
100088,DSP Asset Managers Private Limited,DSP Savings Fund,Open Ended,Debt Scheme - Money Market Fund,DSP Savings Fund - Regular Plan - IDCW,Rs. 1000/- & any amount thereafter,1999-09-20,1999-09-23,INF740K01706,INF740K01AJ2,12.2909,2025-05-05
100089,DSP Asset Managers Private Limited,DSP Savings Fund,Open Ended,Debt Scheme - Money Market Fund,DSP Savings Fund - Regular Plan - IDCW - Monthly,Rs. 1000/- & any amount thereafter,1999-09-20,1999-09-23,INF740K01722,INF740K01AK0,10.9567,2025-05-05
100119,HDFC Asset Management Company Limited,HDFC Balanced Advantage Fund,Open Ended,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,HDFC Balanced Advantage Fund - Growth Plan,For new investors  Rs.5000 For existing Rs. 1000,2000-07-20,2000-08-10,INF179K01830,-,504.278,2025-05-05
100120,HDFC Asset Management Company Limited,HDFC Balanced Advantage Fund,Open Ended,Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage,HDFC Balanced Advantage Fund - IDCW Plan,For new investors  Rs.5000 For existing Rs. 1000,2000-07-20,2000-08-10,INF179K01814,INF179K01822,38.607,2025-05-05
100123,HDFC Asset Management Company Limited,HDFC Income Fund,Open Ended,Debt Scheme - Medium to Long Duration Fund,HDFC Income Fund - Quarterly IDCW Option,REFER SID,2000-09-11,,INF179K01947,INF179K01954,11.7225,2025-05-05
100124,HDFC Asset Management Company Limited,HDFC Income Fund,Open Ended,Debt Scheme - Medium to Long Duration Fund,HDFC Income Fund - Growth Option,REFER SID,2000-09-11,,INF179K01962,-,58.4771,2025-05-05
100174,quant Money Managers Limited,Quant ELSS Tax Saver Fund,Open Ended,Equity Scheme - ELSS,quant ELSS Tax Saver Fund - IDCW Option - Regular Plan,Rs. 5000/-,2000-03-08,2000-03-31,INF966L01119,-,48.3513,2025-05-05
100175,quant Money Managers Limited,Quant ELSS Tax Saver Fund,Open Ended,Equity Scheme - ELSS,quant ELSS Tax Saver Fund - Growth Option - Regular Plan,Rs. 5000/-,2000-03-08,2000-03-31,INF966L01135,-,348.1973,2025-05-05
100176,quant Money Managers Limited,Quant Small Cap Fund,Open Ended,Equity Scheme - Small Cap Fund,quant Small Cap Fund - IDCW Option - Regular Plan,Rs. 5000/-,1996-09-23,1996-10-30,INF206A01022,INF966L01044,190.5103,2025-05-05
100177,quant Money Managers Limited,Quant Small Cap Fund,Open Ended,Equity Scheme - Small Cap Fund,quant Small Cap Fund - Growth - Regular Plan,Rs. 5000/-,1996-09-23,1996-10-30,INF966L01AA0,-,239.559,2025-05-05
